bodyparts_coords,SL_x,SL_y,SR_x,SR_y,EL_x,EL_y,W1_x,W1_y,W2_x,W2_y,B1_x,B1_y,B2_x,B2_y,B3_x,B3_y,B4_x,B4_y,B5_x,B5_y,T1_x,T1_y,T2_x,T2_y,T3_x,T3_y,T4_x,T4_y,T5_x,T5_y,Label
572,179.2079315,95.30819702,262.4919128,94.16437531,173.439743,187.906601,193.5613556,223.8314972,182.9481354,228.4426117,207.2372437,241.5222778,198.0774384,245.5183716,189.3800507,246.8674927,182.2056427,248.6241608,176.3596954,249.2892761,210.5696106,261.491333,196.7715759,272.3474121,188.3330536,273.8493652,182.1235657,271.7251892,175.8654785,267.8290405,1.0
573,178.9687347,95.11540222,262.4411011,94.23345947,173.3843689,187.7262115,193.0467987,223.3999634,182.5083466,228.2443085,206.9920654,240.0449677,197.7943268,243.9235992,189.1494293,245.7207184,182.1440277,247.6447144,176.3377533,248.9897308,210.5013733,259.9230347,198.5706329,272.1109009,189.0588379,273.1141052,182.3301849,271.3812866,175.7184296,267.7513123,1.0
574,178.9842987,95.05079651,262.4243164,94.22554016,173.2200012,187.384201,192.7692413,223.0600891,182.0066223,227.924942,206.5484772,238.0527954,197.2522278,241.8847198,188.597229,243.9583893,181.8568268,246.325943,176.1569824,247.9541168,209.7741547,258.1384277,199.4037933,270.3219604,190.0100708,272.3990479,182.6894073,271.3676758,175.7892609,267.9840698,1.0
575,178.9943237,95.02426147,262.3990784,94.09382629,172.9454498,187.2586212,192.1683655,222.1021423,181.6467743,227.2567444,205.9622803,236.3021088,196.4540863,239.3566132,187.9124603,241.9776001,181.3578339,244.8770905,175.8821259,247.2214966,209.0527039,255.4424896,200.1525574,267.5893555,190.795517,271.2164612,182.8458405,270.7626343,175.920105,267.8321838,1.0
576,178.9627228,94.80015564,262.4102783,94.13135529,172.6131744,186.8662567,191.6357727,220.9270782,181.4230194,226.3069305,205.7038116,233.2538147,195.2995148,237.1851044,187.039566,239.8283234,180.797226,243.0866394,175.8006592,246.2632751,208.816864,251.9656677,199.3386993,264.2556152,190.5947266,269.2049561,183.1525116,269.351532,176.5809631,267.0143127,1.0
577,179.3276062,95.05445862,262.5002441,93.98287964,172.4860229,186.1834106,191.2984314,218.6604462,181.4289551,224.572525,205.4207458,229.2634583,194.5212555,232.4585419,185.9316406,236.3918304,180.9546814,240.5951538,176.5349884,244.5602875,208.2611694,247.5630646,200.8379822,258.2724609,192.5281219,264.4915771,184.9951782,266.3638306,179.5974884,264.9258118,1.0
578,179.236496,95.05654144,262.5145264,94.03172302,172.2623291,185.4182739,190.5548248,218.115097,180.4162445,223.1055145,205.1730347,225.0675354,194.4431458,228.6697083,186.1338501,232.0639343,181.7391663,237.1165619,177.1442108,241.4181976,209.1739502,242.167099,202.7097321,252.4459839,195.0604858,259.7118835,187.4742889,261.6647644,181.6843872,260.9359741,1.0
579,179.2648621,94.96587372,262.4601746,94.09619904,171.4794006,185.003067,190.1624756,215.0758667,179.937851,220.298584,204.6000214,220.3720551,193.2908173,223.3830719,185.4563446,228.0965424,181.6915436,232.9857178,178.0323181,237.9195251,209.0547943,235.174408,202.728241,245.0354614,196.2426758,252.5313263,188.9424744,255.7548981,183.6953735,256.109314,1.0
580,179.3903198,94.9167099,262.4196167,94.07813263,170.8909149,183.8947449,189.526001,210.6793671,180.0870972,219.4057007,203.7817383,215.9427643,192.5657501,217.7155457,183.9135742,222.0648346,180.295578,228.0269928,177.3148804,233.6284027,209.1868134,230.8082428,203.8339386,236.8411407,198.028656,245.0967102,190.5574646,248.847702,184.5583191,249.747818,1.0
581,179.6452026,95.01230621,262.4593506,94.06638336,170.3777313,183.5000305,187.0288544,207.4588623,178.9897919,215.4015198,201.9982147,210.7379913,191.2142639,212.9633026,184.9488373,216.2015381,179.8209381,223.908783,176.6704407,228.0863953,207.5471344,223.5326843,203.8465118,229.4174805,198.3696747,236.4584351,190.4421844,240.7366486,183.9602509,242.973938,1.0
