bodyparts_coords,SL_x,SL_y,SR_x,SR_y,EL_x,EL_y,W1_x,W1_y,W2_x,W2_y,B1_x,B1_y,B2_x,B2_y,B3_x,B3_y,B4_x,B4_y,B5_x,B5_y,T1_x,T1_y,T2_x,T2_y,T3_x,T3_y,T4_x,T4_y,T5_x,T5_y,Label
2497,206.1691742,90.47120667,295.4873962,89.75854492,195.3905334,182.4990997,204.6419067,226.5438232,193.7203827,230.4201508,214.4907227,242.7362976,203.419281,247.7851868,195.3613434,249.2172241,188.6172943,250.9246521,183.3923492,251.6851959,215.5766296,264.8545227,202.7017212,274.020874,189.5412292,273.5592957,180.6465149,272.5968628,174.2850952,270.351593,2.0
2498,206.0964966,90.4365921,295.4623108,89.74929047,195.368988,182.1292877,204.7113647,226.3201141,193.9223785,230.2700348,214.7954559,242.2944641,203.7145538,247.3269806,195.7513885,248.793396,189.0387115,250.6374359,183.8173523,251.3353271,215.7521057,264.4052124,202.9781952,273.6027222,190.3318634,272.9790039,181.8281403,271.9993286,175.318161,270.0505371,2.0
2499,205.8966675,90.56674957,295.4784546,89.79702759,194.8752441,182.1124268,204.9076385,225.3754272,194.1954956,229.4441681,215.5393372,241.5090179,204.4029541,246.5073547,196.5257263,247.6204376,189.7254486,249.8860779,184.4957275,250.5402374,216.1835175,264.1431274,203.8609772,273.2507629,191.6520691,272.5466919,182.9499054,271.6817322,176.0412292,269.025177,2.0
2500,205.8579865,90.56269073,295.4782104,89.70329285,194.6105652,182.2132111,205.1700134,224.667572,194.6257477,228.8540649,216.3892822,240.7586365,205.4645996,245.5511475,197.659729,246.7003937,191.1144257,248.763443,186.0833282,249.8602295,216.9647675,263.1938171,205.6970978,272.1725464,194.2640533,273.2102356,185.1541138,271.3899231,178.1007538,268.6360168,2.0
2501,205.9225616,90.48508453,295.4996643,89.69165802,194.2289276,181.868515,205.5601959,223.3336639,195.1838379,227.6091919,216.7199554,239.1998901,206.7636108,243.5124207,198.8298645,245.06604,192.7133331,247.4412842,187.6880341,248.7360992,218.4472809,261.7463684,209.9939575,271.1036682,197.3898926,271.9335022,188.0770111,270.8437195,180.5101776,267.7097778,2.0
2502,205.9048462,90.49241638,295.4940491,89.68147278,194.1291809,181.6515503,206.4840546,222.3210449,195.8318787,226.1252899,218.3340302,238.4619751,208.9517365,241.3559265,200.8139954,243.0007477,194.7363892,245.4254608,190.3583527,246.8199921,220.8995972,260.0121765,212.694458,269.5090027,200.9793549,271.2841187,191.5304108,269.9755859,184.5833588,266.539856,2.0
2503,205.9242401,90.43949127,295.5158997,89.78279877,194.0222015,181.7252197,207.1097107,220.6975403,196.4749908,224.7364044,219.54245,236.7063293,211.1125488,238.8186035,202.5152435,240.5239716,196.641571,243.50737,192.1381683,245.1517181,223.4698944,257.8190918,214.9367371,267.9815063,205.0694885,270.3770752,195.1184082,269.3562622,187.9476013,266.0960999,2.0
2504,205.9347687,90.45206451,295.4576111,89.7622757,193.9894409,181.5192566,207.8652649,218.1768341,197.6014099,223.1684113,221.8003235,234.4698181,212.2579803,236.6334991,203.9766083,238.4529114,198.2107239,241.7483673,193.6147003,243.9764404,224.8429413,255.5667877,217.8018494,266.755249,208.9893188,269.8399963,199.5307159,268.1537476,191.6499939,264.2093201,2.0
2505,205.9962158,90.46535492,295.43573,89.72210693,194.0290527,181.0744629,208.5924835,216.8463745,198.5187836,221.8231812,223.9656372,231.7005157,214.9943085,232.8610535,206.8017578,235.0749359,200.6891174,238.4651489,196.1209106,241.2736664,227.4811096,253.8912964,222.1455688,263.8233032,213.7561951,267.3362427,204.4862518,266.7944946,196.4847717,263.2605896,2.0
2506,205.8794403,90.46245575,295.4205322,89.61478424,194.0226898,180.9357605,210.147049,214.8683624,199.5207367,220.4694519,225.33638,229.1710815,217.6013947,227.8279266,209.5173035,231.038681,203.2387085,236.0202484,198.8215027,239.420578,229.9819794,251.4001617,225.8821716,261.7206726,217.5997314,264.2657776,208.9712677,264.4870605,201.139801,262.04245,2.0
